"title","start_url","breadcrumb","content","right_callout","layout"
"No title from DOR","http://dor.wa.gov/Content/AboutUs/StatisticsAndReports/WAtaxstudy/Report_Highlights.htm",""," No main content from DOR "," No right callout from DOR ","two-column-special"
"No title from DOR","http://dor.wa.gov/Content/AboutUs/StatisticsAndReports/WAtaxstudy/Statutory_Authority.htm",""," No main content from DOR "," No right callout from DOR ","two-column-special"
"No title from DOR","http://dor.wa.gov/Content/AboutUs/StatisticsAndReports/WAtaxstudy/Final_Report.htm",""," No main content from DOR "," No right callout from DOR ","two-column-special"
"No title from DOR","http://dor.wa.gov/Content/AboutUs/StatisticsAndReports/WAtaxstudy/wataxstudy.htm",""," No main content from DOR "," No right callout from DOR ","two-column-special"
"No title from DOR","http://dor.wa.gov/Content/AboutUs/StatisticsAndReports/WAtaxstudy/Study_History.htm",""," No main content from DOR "," No right callout from DOR ","two-column-special"
"No title from DOR","http://dor.wa.gov/Content/AboutUs/StatisticsAndReports/WAtaxstudy/Advisory_Group.htm",""," No main content from DOR "," No right callout from DOR ","two-column-special"
"","http://dor.wa.gov/Content/GetAFormOrPublication/PublicationBySubject/TaxTopics/MandatoryE-file.aspx","Get a form or publication >>>>  Publications by subject >>>>  Tax Topics >>>>  "," <h3>All quarterly and monthly taxpayers are required to file and pay electronically</h3>
  <p>Monthly and Quarterly taxpayers must file and pay their taxes  electronically. (<a href=""http://apps.leg.wa.gov/rcw/default.aspx?cite=82.32.080"" target=""_blank"">Revised Code of Washington 82.32.080</a>). </p>
  <p> Monthly taxpayers have been required to file and pay  electronically since Substitute Senate Bill 5571 was passed by the 2009  Legislature. Quarterly  taxpayers have been required to file and pay electronically since Engrossed House Bill 1357 was passed by the  2011 Legislature.</p>
  Taxpayers who are unable to file and pay  electronically may
  <a href=""#Waiver"">request  a waiver</a>. 
  <h3><strong>How do I file my taxes electronically?</strong> </h3>
  <p>File your return electronically using E-file, the  Department’s online filing tool. To use E-file, you must <a href=""https://fortress.wa.gov/dor/efile/FortressLogon/"">create an online account</a>.  You will need your <a href=""/content/home/popups/ubi.htm"" target=""_blank"">Tax Registration/UBI Number</a> and <a href=""/content/fileandpaytaxes/fileoramendmyreturn/paclocations.aspx"" target=""_blank"">Pre-Assigned Access Code (PAC)</a>. </p>
  <p> To see a preview of the registration process, click on <a href=""/Content/Home/help/ScreensMyAccountEfile.htm"">Preview of My Account and E-file</a>.</p>
  <p> Once you create your account, click on <em>File return</em> next to the period you wish to report. Follow the  prompts. For help in the E-file program, click on the <em>Tutorial</em> icon in the upper right of most pages.<br /></p>
  
  <h3><strong>Get electronic reminders</strong></h3>
  <p>You can sign up for electronic  due date reminders and sales tax rate changes during the registration process. Those  notices will go to the email address you enter when you create your account. </p>
  <p> If you already have an account and you are not receiving  electronic reminders, please log into your account at dor.wa.gov.  Select <em>E-mail & notices</em> on the left menu  and then, click on <em>E-mail notifications  (listserv)</em> and follow the prompts to join or leave the <em>Electronic Filing (E-file)</em> list.  </p>
  <h3><strong>How do I pay my taxes electronically?</strong> </h3>
  <p>Paying taxes electronically is the last step of the E-file  process. You will find your payment options in My Account, on the left under<em> Invoices & payment options</em>. </p>
  <p> Below is a description of each option:</p>
  <ul><li><strong>Electronic Funds Transfer (EFT)<br /></strong>You must <a href=""https://fortress.wa.gov/dor/efile//MyAccount/Home/EFTRegistration.aspx/Start"">register to use EFT</a> by selecting <em>Electronic funds transfer registration/update</em>. </li>
    <ul><li><em><strong>EFT Debit</strong></em><em>: </em>You authorize the Department’s bank to  withdraw the amount you owe from your bank account on the date you select. This  happens automatically when you submit your return. </li>
      <li><em><strong>EFT Credit: </strong></em>You authorize your bank to send funds to the  Department’s account. You must initiate this payment each time you submit payment.</li>
    </ul><li><strong>E-check </strong><br />
      You enter your bank account number and routing information to make a one-time  payment. The transaction is free and only gives the Department permission to withdraw the amount that you authorize.</li>
    <li><strong>Credit Card</strong> <br />
      You enter your credit card information to make a one-time payment. You can use  Visa, MasterCard, American Express or Discover. A 2.5% fee is charged by a  non-state vendor for this service. </li>
    </ul><h3><strong>Benefits  of using E-File</strong> </h3>
  <p>Nearly a quarter million Washington  businesses have already discovered the benefits of using E-file. Whether you’re  a small business or a CPA who handles multiple accounts, E-file offers several  advantages over traditional paper filing. </p>
  <p>Benefits  of E-file include:</p>
  <ul><li>24/7 access to your tax return and payment system.</li>
    <li>Instantaneous delivery of your return with confirmation.</li>
    <li>Automatic error checking.</li>
    <li>Ability to customize your return to include only the classifications you  need.</li>
    <li>Four payment options: EFT Debit, EFT Credit, E-check, and credit card.</li>
    <li>Ability to import data from software programs.</li>
    <li>Faster processing and fewer errors.</li>
  </ul><h3><strong><a name=""Waiver"" id=""Waiver""></a>If you can’t file and  pay electronically</strong> </h3>
  You may request a waiver. Reasons why a waiver may be granted include:
  <ul><li>You do not have a computer. </li>
    <li>You do not have access to the internet using your own computer. </li>
    <li>You do not have a bank account or a credit card. </li>
    <li>Your bank is unable to send or receive electronic funds transfer  transactions. </li>
  </ul><p>To request a waiver, send a written request with explanation to:</p>
  <blockquote>
    <p>      Electronic Filing and Payment Team<br />
      Department of Revenue<br />
      PO Box 47476<br />
      Olympia, WA 98504-7476</p>
  </blockquote>
  <h3> </h3>
  <h3><strong><img src=""/sites/default/files/images/orangeArrow.gif"" alt="" arrow"" /> For help, call 1-877-345-3353. </strong></h3>
  <p> </p>
  <p> </p>
  <p> </p>
  <p> </p>
  <p> </p>
  <p> </p>
  <p> </p>
 "," 
  <h4>More Information</h4>
  <p><a href=""/Content/GetAFormOrPublication/PublicationBySubject/TaxTopics/MandatoryE-fileQnA.aspx""><br />
    Questions and answers</a></p>
  <p><a href=""/Content/Home/help/ScreensMyAccountEfile.htm"">Preview of My Account and E-file</a></p>
  <p>For tax preparers</p>
  <ul><li><a href=""/Content/FileAndPayTaxes/FileOrAmendMyReturn/EfileTaxPreparers.aspx"">General information</a></li>
    <li><a href=""/Content/FileAndPayTaxes/FileOrAmendMyReturn/EfileTaxPreparerQA.aspx"">Questions and answers</a></li>
  </ul><p><br />
    How to file and pay your taxes electronically (pdf)</p>
  <ul><li><a href=""/sites/default/files/documents/Pubs/ExciseTax/HowToFileAndPay.pdf"" target=""_blank"">English</a></li>
    <li><a href=""/sites/default/files/documents/Pubs/Russian/424166HowtoE-fileandE-pay-Russian.pdf"" target=""_blank"">Русско</a></li>
    <li><a href=""/sites/default/files/documents/Pubs/espanol/424166HowtoE-fileandE-pay-Spanish.pdf"" target=""_blank"">Español</a></li>
    <li><a href=""/sites/default/files/documents/Pubs/Chinese/424166HowtoE-fileandE-pay-Chinese.pdf"" target=""_blank"">漢語</a></li>
    <li><a href=""/sites/default/files/documents/Pubs/Tagalog/424166HowtoE-fileandE-pay-Tagalog.pdf"" target=""_blank"">Tagalog</a></li>
    <li><a href=""/sites/default/files/documents/Pubs/Korean/424166HowtoE-fileandE-pay-Korean.pdf"" target=""_blank"">한국어</a></li>
    <li><a href=""/sites/default/files/documents/Pubs/TiengViet/424166HowtoE-fileandE-pay-Vietnamese.pdf"" target=""_blank"">tiếng Việt</a></li>
  </ul><p> </p>
<!--  <a href=""/sites/default/files/documents/Pubs/ExciseTax/FilTaxReturn/HowToEfile.pdf"" target=""_blank""><img src=""/sites/default/files/images/icons/english_new.gif"" alt=""English"" width=""85"" height=""15""  /><br />
    </a><a href=""/sites/default/files/documents/Pubs/ExciseTax/HowToFileAndPaySP.pdf"" target=""_blank""><img src=""/sites/default/files/images/icons/espanol2_new.gif"" alt=""Espanol"" width=""85"" height=""15""  /><br />
    </a><a href=""/sites/default/files/documents/Pubs/ExciseTax/HowToFileAndPayCH.pdf"" target=""_blank""><img src=""/sites/default/files/images/icons/chinese-trad_new.gif"" alt=""Chinese"" width=""85"" height=""17""  /><br />
    </a><a href=""/sites/default/files/documents/Pubs/ExciseTax/HowToFileAndPayTV.pdf"" target=""_blank""><img src=""/sites/default/files/images/icons/vietnamese_new.gif"" alt=""Vietnamese"" width=""85"" height=""15""  /><br />
    </a><a href=""/sites/default/files/documents/Pubs/ExciseTax/HowToFileAndPayKO.pdf"" target=""_blank""><img src=""/sites/default/files/images/icons/korean_new.gif"" alt=""Korean"" width=""85"" height=""15""  /><br />
    </a><a href=""/sites/default/files/documents/Pubs/ExciseTax/HowToFileAndPayTG.pdf"" target=""_blank""><img src=""/sites/default/files/images/icons/tagalog_new.gif"" alt=""Tagalog"" width=""85"" height=""15""  /></a><br />
  <a href=""/sites/default/files/documents/Pubs/ExciseTax/HowToFileAndPayRU.pdf"" target=""_blank""><img src=""/sites/default/files/images/icons/russian_new.gif"" alt=""Russian"" width=""85"" height=""15""  /></a>
  <p> </p>-->
 ","two-column-special"
"No title from DOR","http://dor.wa.gov/Content/AboutUs/StatisticsAndReports/WAtaxstudy/Agenda.htm",""," No main content from DOR "," No right callout from DOR ","two-column-special"
"Information  on transitioning to Destination-based Sales Tax for  Online Sellers using Shopping Carts","http://dor.wa.gov/Content/FindTaxesAndRates/RetailSalesTax/DestinationBased/OnlineSellers.aspx","Find taxes & rates >>>>  Retail sales tax  >>>>  Destination-Based Sales Tax >>>>  Information  on transitioning to Destination-based Sales Tax for  Online Sellers using Shopping Carts"," No main content from DOR "," No right callout from DOR ","two-column-special"
"Destination-based sales tax","http://dor.wa.gov/Content/FindTaxesAndRates/RetailSalesTax/DestinationBased/SSTDestination.aspx","Find taxes & rates >>>>  Retail sales tax  >>>>  Destination-Based Sales Tax >>>>  Destination-based sales tax"," 
  <h2><strong>Examples of Destination-based Sales Tax</strong></h2>
  <ul type=""disc""><li>A resident of Olympia orders a pizza from a restaurant       located in Tumwater. The store delivers the pizza to the customer in Olympia. Sales tax is based on the       customer’s location in Olympia. </li>
  </ul><ul><li>A Darrington resident purchases a couch at a furniture store in  Bothell and requests that the merchant deliver the couch to the customer’s home  in Darrington.  Sales tax is based on the customer’s location in Darrington. </li>
  </ul><ul><li>A Vancouver resident purchases a computer  online from a merchant in Seattle. The computer is a gift for a  student attending college in Pullman. The buyer directs the seller  to ship the computer to the student’s address in Pullman. The sale is based on the  location of the student in Pullman. The merchant should collect  sales tax based on the “ship to” address in Pullman. </li>
  </ul><ul><li>A Spokane Valley resident purchases a mattress  at a store in Spokane. The merchant delivers the  mattress from its warehouse located in Deer Park to the customer’s home in Spokane Valley. Sales tax is based on the  customer’s location in Spokane Valley. </li>
  </ul><p> </p>
  <h4>What about deliveries to locations  outside of Washington?</h4>
  <p>There is no change for deliveries outside of Washington. Washington’s sales tax does not apply on  sales of goods when the seller delivers the goods to the buyer at a location  outside the state. <strong> </strong></p>
  <h4><br /><strong>Sales tax on short-term leases:</strong></h4>
  <p>Sales tax on leases<strong> </strong>that require recurring periodic  payments is generally based on the customer’s location, except the initial  payment. For leases (other than motor vehicles, trailers, semi-trailers, or aircraft)  that require recurring periodic payments, sales tax is sourced as follows:</p>
  <ul><li>If the buyer receives the property at the seller’s location,  sales tax on the first periodic payment is based on the seller’s location. Sales  tax on subsequent payments is based on the primary property location for each  period covered by the payment. The primary property location is considered to  be the address for the property that the buyer provides to the seller and that  the seller maintains in its records in the ordinary course of business, when  use of this address does not constitute bad faith.</li>
  </ul><ul><li>If the buyer does not receive the property at the seller’s  location, sales tax on the first periodic payment is based on the location  where receipt occurs, if known by the seller.   Sales tax on subsequent payments is based on the primary property  location for each period covered by the payment. </li>
  </ul><p><br /><strong>Sales tax on rentals:</strong></p>
  <ul><li>Olympia Construction Co. rents a “pressure washer” from Chehalis  Rental Co.  The rental period is one  week. Olympia Construction picks up the  equipment in Chehalis and delivers it to their job site in Yelm. Sales tax is  based on the seller’s location in Chehalis. </li>
  </ul><ul><li>If Chehalis Rental Co. delivers the pressure washer directly to  the job site in Yelm, sales tax would be based on the location of the job  site in Yelm. </li>
  </ul><ul><li>Washington’s tax does not apply if  Chehalis Rental Co. delivers the pressure washer to the customer at a location  outside the state of Washington. </li>
  </ul><ul type=""disc""><li>D&R Construction,       located in Olympia, rents a “backhoe” from       Construction Rentals, located in Tacoma. The rental period is 45       days, for a lump sum rental payment of $3,000. D&R picks up the       equipment in Tacoma and delivers it to a job       site in DuPont. Sales tax on the rental payment is based on the seller’s       location in Tacoma.</li>
  </ul><p> </p>
   "," 
  <h3>More information</h3>
  <p><a href=""/Content/FindTaxesAndRates/RetailSalesTax/DestinationBased/DepartmentStreamLineFAQ.aspx"">Questions & answers</a></p>
  <p><a href=""http://streamlinedsalestax.org/"" target=""_blank"">Governing board web site</a></p>
  <p><a href=""https://www.sstregister.org/sellers"" target=""_blank"">Registration system</a></p>
  <p><a href=""/sites/default/files/documents/Pubs/Misc/Streamline/MembershipPetition.pdf"" target=""_blank"">Membership petition</a> </p>
  <p><a href=""https://fortress.wa.gov/dor/efile/SecureForms/content/contactus/email/communications.aspx"">Contact us</a> with your questions or concerns. </p>
  <p> </p>
  <h3>Publications </h3>
  <p>Destination-based Sales Tax at a Glance (pdf)</p>
  <p><a href=""/sites/default/files/documents/Pubs/Misc/Streamline/SSTAtAGlance.pdf"" target=""_blank""><img src=""/sites/default/files/images/icons/english_new.gif"" alt=""English"" width=""85"" height=""15"" /><br /></a><a href=""/sites/default/files/documents/Pubs/Misc/Streamline/SP_SSTAtAGlance.pdf"" target=""_blank""><img src=""/sites/default/files/images/icons/espanol2_new.gif"" alt=""Espanol"" width=""85"" height=""15"" /><br /></a><a href=""/sites/default/files/documents/Pubs/Misc/Streamline/SSTAtAGlanceCH.pdf"" target=""_blank""><img src=""/sites/default/files/images/icons/chinese-trad_new.gif"" alt=""Chinese"" width=""85"" height=""17"" /><br /></a><a href=""/sites/default/files/documents/Pubs/Misc/Streamline/SSTAtAGlanceVI.pdf"" target=""_blank""><img src=""/sites/default/files/images/icons/vietnamese_new.gif"" alt=""Vietnamese"" width=""85"" height=""15"" /><br /></a><a href=""/sites/default/files/documents/Pubs/Misc/Streamline/SSTAtAGlanceKO.pdf"" target=""_blank""><img src=""/sites/default/files/images/icons/korean_new.gif"" alt=""Korean"" width=""85"" height=""15"" /><br /></a><a href=""/sites/default/files/documents/Pubs/Misc/Streamline/SSTAtAGlanceTA.pdf"" target=""_blank""><img src=""/sites/default/files/images/icons/tagalog_new.gif"" alt=""Tagalog"" width=""85"" height=""15"" /></a><br /><a href=""/sites/default/files/documents/Pubs/Misc/Streamline/SSTAtAGlanceRU.pdf"" target=""_blank""><img src=""/sites/default/files/images/icons/russian_new.gif"" alt=""Russian"" width=""85"" height=""15"" /></a></p>
  <a href=""/content/GetAFormOrPublication/PublicationBySubject/#DestST"">More destination-based sales tax publications</a> ","two-column-special"
