"title","start_url","breadcrumb","content","right_callout","layout"
"Find a law or rule","http://dor.wa.gov/Content/FindALawOrRule/Default.aspx","Find a law or rule","  
 <table><tr><td> <h4><a href=""http://taxpedia.dor.wa.gov"" target=""_blank"">Taxpedia</a></h4>
      <p>Search for information regarding laws, rules, Washington tax decision, etc.<br /><img src=""sites/default/files/images/taxpedia.gif"" /></p>
      <p> </p>
      <h4>Washington Administrative Code (WAC)</h4>
      <ul><li><a href=""http://apps.leg.wa.gov/wac/default.aspx?cite=458"" target=""_blank"">Excise tax rules</a> (WACs)</li>
        <li><a href=""http://apps.leg.wa.gov/wac/"" target=""_blank"">List of all WACs</a></li>
        <li><a href=""/sites/default/files/documents/Pubs/ExciseTax/WACIndex.pdf"" target=""_blank"">WAC 458-20 Index</a> (pdf) </li>
      </ul><h4>Revised Code of Washington (RCW) </h4>
      <ul><li><a href=""http://apps.leg.wa.gov/rcw/default.aspx?Cite=82"" target=""_blank"">Excise tax laws </a>(RCWs)</li>
        <li><a href=""http://apps.leg.wa.gov/rcw/"" target=""_blank"">List of all RCWs</a></li>
      </ul><h4>Washington Tax Decisions (WTDs) </h4>
      <ul><li><a href=""WTD/default.aspx"">Recently published</a></li>
        <li><a href=""http://taxpedia.dor.wa.gov/zipfiles.aspx"" target=""_blank"">List of all WTDs</a> (Taxpedia) </li>
      </ul></td>
    <td> <h4>Current and Expected Activities</h4>
      <ul><li><a href=""RuleMaking/default.aspx"">Overview of  rule making </a></li>
        <li><a href=""/content/FindALawOrRule/RuleMaking/agenda.aspx"">Rule making agenda</a></li>
        <li><a href=""RuleMaking/Actions.aspx"">Recent adoptions and repeals</a></li>
        <li><a href=""/Content/FindALawOrRule/RuleMaking/DraftETAs/default.aspx"">Draft  tax advisories (ETAs and PTAs)</a></li>
 
      </ul><h4>Interpretive Statements </h4>
      <ul><li><a href=""/Content/FindALawOrRule/RuleMaking/TaxAdvisories.aspx"">Overview of tax advisories</a></li>
        <li><a href=""ETA/default.aspx"">Excise Tax Advisories</a> (ETAs)</li>
        <li><a href=""FindTaxesAndRates/PropertyTax/prop_RnLs.aspx#property"">Property Tax Advisories</a> (PTAs)</li>
      </ul><h4>Other  Guidance </h4>
      <ul><li><a href=""/content/getaformorpublication/publicationbysubject/taxtopics/interimguidancestatements.aspx"">Interim  Guidance Statements</a></li>
        <li><a href=""/Content/GetAFormOrPublication/PublicationBySubject/tax_sn_main.aspx"">Special Notices</a></li>
        <li><a href=""/Content/DoingBusiness/BusinessTypes/Industry/default.aspx"">Industry specific guides</a></li>
        <li><a href=""/content/getaformorpublication/publicationbysubject/taxtopics/"">Tax Topics</a></li>
      </ul><h4>Tax Research Index</h4>
      <ul><li><a href=""TaxResearch/Default.aspx"">Cross-reference tax information</a></li>
      </ul><br /><table><tr><td col="""" background=""sites/default/files/images/horizontal-line.gif""> </td>
        </tr><tr><td><img src=""sites/default/files/images/email-img.jpg"" /></td>
          <td><strong>Sign  up for email notifications via listserv</strong></td>
        </tr><tr><td> </td>
          <td> 
             
              <ul><li><a href=""https://fortress.wa.gov/dor/efile/SecureForms/content/contactus/email/listservemail.aspx"">Get the latest information updates on excise, estate, and/or property taxes.</a></li>
              </ul></td>
          </tr></table></td>
 </tr></table>"," 

<h3>More information</h3>

 
<p><a href=""/Content/FindALawOrRule/RuleMaking/RulesCalendar.aspx"">Calendar</a></p>
<p><a href=""/Content/GetAFormOrPublication/PublicationBySubject/TaxTopics/ESHB1287.aspx"">ESHB 1287</a></p>
<p><a href=""/sites/default/files/documents/Reports/2016/2016_Summary_of_Tax_Legislation.pdf"" target=""_blank"">Summary of 2016 Tax Legislation</a> (pdf) </p>
<p><a href=""/Content/GetAFormOrPublication/PublicationBySubject/tax_sn_main.aspx""></a><a href=""/content/getaformorpublication/publicationbysubject/taxtopics/digitalproducts.aspx"">Digital  Products including Digital Goods</a></p>
<p><a href=""/Content/DoingBusiness/BusinessTypes/Industry/default.aspx""></a><a href=""/content/findtaxesandrates/bandotax/economicnexus.aspx"">Economic  Nexus</a></p>
<p><a href=""/content/contactus/con_taxrulings.aspx"">Binding Rulings</a></p>
<p> </p>
<p> </p>
   ","two-column"
"Authorizing law","http://dor.wa.gov/Content/FileAndPayTaxes/ReviewsAndAppeals/AuthorizingLaw.aspx","File & pay taxes >>>>  Reviews and Appeals >>>>  Authorizing law"," <br /><table><tr><td><strong>Revised Code of Washington (RCW)</strong>:<br /><br /></td>
        <td><p> </p>
          <p><a href=""http://apps.leg.wa.gov/rcw/default.aspx?cite=82.16.110"" target=""_blank"">82.16.110</a></p>
          <p><a href=""http://apps.leg.wa.gov/rcw/default.aspx?cite=82.32.160"" target=""_blank"">82.32.160</a></p>
          <p><a href=""http://apps.leg.wa.gov/rcw/default.aspx?cite=82.32.170"" target=""_blank"">82.32.170</a></p>
          <p><a href=""http://apps.leg.wa.gov/rcw/default.aspx?cite=82.32.180"" target=""_blank"">82.32.180</a></p>
          <p><a href=""http://apps.leg.wa.gov/rcw/default.aspx?cite=82.32.190"" target=""_blank"">82.32.190</a></p>
          <p><a href=""http://apps.leg.wa.gov/rcw/default.aspx?cite=82.32.200"" target=""_blank"">82.32.200</a></p>
          <p><a href=""http://apps.leg.wa.gov/rcw/default.aspx?cite=82.32.215"" target=""_blank"">82.32.215</a></p>
          <p><a href=""http://apps.leg.wa.gov/rcw/default.aspx?cite=82.32.780"" target=""_blank"">82.32.780</a></p>
          <p><a href=""http://apps.leg.wa.gov/rcw/default.aspx?cite=82.32.783"" target=""_blank"">82.32.783</a></p>
          <p><a href=""http://apps.leg.wa.gov/rcw/default.aspx?cite=84.08.120"" target=""_blank"">84.08.120</a></p>
          <p><a href=""http://apps.leg.wa.gov/rcw/default.aspx?cite=84.41.120"" target=""_blank"">84.41.120</a></p>
          <p><a href=""http://apps.leg.wa.gov/rcw/default.aspx?cite=34.05"" target=""_blank"">34.05</a></p>
          <p><a href=""http://apps.leg.wa.gov/rcw/default.aspx?cite=59.30"" target=""_blank"">59.30</a></p>
          <p><a href=""http://apps.leg.wa.gov/rcw/default.aspx?cite=63.29"" target=""_blank"">63.29</a></p></td>
        <td><strong>Washington Administrative Code (WAC)</strong>:<br /><br /></td>
        <td><p> </p>
          <p><a href=""http://apps.leg.wa.gov/wac/default.aspx?cite=458-20-100"" target=""_blank"">458-20-100</a></p>
          <p><a href=""http://apps.leg.wa.gov/wac/default.aspx?cite=458-20-10001"" target=""_blank"">458-20-10001</a></p>
          <p><a href=""http://apps.leg.wa.gov/wac/default.aspx?cite=458-20-10002"" target=""_blank"">458-20-10002</a></p>
          <p><a href=""http://apps.leg.wa.gov/wac/default.aspx?cite=458-20-10003"" target=""_blank"">458-20-10003</a></p>
          <p> <a href=""http://apps.leg.wa.gov/wac/default.aspx?cite=458-20-10004"" target=""_blank"">458-20-10004</a></p>
          <p><a href=""http://apps.leg.wa.gov/wac/default.aspx?cite=458-20-10202"" target=""_blank"">458-20-10202 </a></p>
          <p><a href=""http://apps.leg.wa.gov/wac/default.aspx?cite=458-20-273"" target=""_blank"">458-20-273</a></p>
          <p><a href=""http://apps.leg.wa.gov/wac/default.aspx?cite=240-15"" target=""_blank"">240-15</a></p></td>
      </tr></table>"," 
    <a href=""/Content/FileAndPayTaxes/ReviewsAndAppeals/Default.aspx""><strong>What Department actions are reviewable?</strong></a><p><a href=""/Content/FileAndPayTaxes/ReviewsAndAppeals/Default.aspx""><strong>What Department actions are reviewable?</strong></a></p>
<p><strong>Rule 100 reviews</strong></p>
    <ul><li><a href=""/Content/FileAndPayTaxes/ReviewsAndAppeals/Basics.aspx"">Starting a Rule 100 review</a></li>
      <li><a href=""/Content/FileAndPayTaxes/ReviewsAndAppeals/Extensions.aspx"">Extensions for requesting a Rule 100 review</a></li>
      <li><a href=""/Content/FileAndPayTaxes/ReviewsAndAppeals/Hearings.aspx"">Rule 100 Hearings</a></li>
      <li><a href=""/Content/FileAndPayTaxes/ReviewsAndAppeals/Decisions.aspx"">Rule 100 Decisions</a></li>
      <li><a href=""/Content/FileAndPayTaxes/ReviewsAndAppeals/SmallClaims.aspx"">Rule 100 Small claims review</a></li>
      <li><a href=""/Content/FileAndPayTaxes/ReviewsAndAppeals/LetterRuling.aspx"">Rule 100 Letter ruling review</a></li>
      <li><a href=""/Content/FileAndPayTaxes/ReviewsAndAppeals/ExecutiveLevelAppeals.aspx"">Rule 100 Executive  level review</a></li>
      <li><a href=""/Content/FileAndPayTaxes/ReviewsAndAppeals/Reconsideration.aspx"">Rule 100 Reconsideration  requests</a></li>
      <li><a href=""/Content/FileAndPayTaxes/reviewsAndAppeals/FurtherRights.aspx"">Rule 100 Further appeal rights</a></li>
      <li><a href=""/Content/FileAndPayTaxes/ReviewsAndAppeals/Settlements.aspx"">Rule 100 Settlements</a></li>
      <li><a href=""/Content/FileAndPayTaxes/ReviewsAndAppeals/Publication.aspx"">Publishing  your Rule 100 decision</a> </li>
    </ul><p><strong>APA Appeals</strong></p>
    <ul><li><a href=""/Content/FileAndPayTaxes/ReviewsAndAppeals/RevocationsLogExports.aspx"">What is an  APA appeal?</a></li>
      <li><a href=""/Content/FileAndPayTaxes/ReviewsAndAppeals/RevocationsBusinessCertificate.aspx"">Revocation of  your business license</a></li>
      <li><a href=""/Content/FileAndPayTaxes/ReviewsAndAppeals/RevocationResellerPermit.aspx"">Reseller  Permit revocation / suspension</a></li>
      <li><a href=""/Content/FileAndPayTaxes/ReviewsAndAppeals/UCPProperty.aspx"">Unclaimed  property appeals</a></li>
      <li><a href=""/Content/FileAndPayTaxes/ReviewsAndAppeals/OtherAPA.aspx"">Other APA  appeals</a> </li>
    </ul><p><strong>Other information</strong></p>
    <ul><li><strong>Authorizing  law</strong></li>
      <li><a href=""/Content/FileAndPayTaxes/ReviewsAndAppeals/Directions.aspx"">Contact  information</a></li>
      <li><a href=""/content/FileAndPayTaxes/ReviewsAndAppeals/Survey.aspx"">Taxpayer  Survey</a></li>
      <li><a href=""/Content/FileAndPayTaxes/ReviewsAndAppeals/SettlementTrack.aspx"">Settlement Track  created to make settlement process quicker</a></li>
      <li><a href=""/Content/FileAndPayTaxes/ReviewsAndAppeals/Nonacquiescence.aspx"">Non-acquiescence  statements </a></li>
      <li><a href=""/Content/FileAndPayTaxes/ReviewsAndAppeals/Statistics.aspx"">Statistics</a></li>
      <li><a href=""/Content/FindTaxesAndRates/RetailSalesTax/ResellerPermit/"">Reseller permits</a></li>
    </ul>","two-column"
"Contact us","http://dor.wa.gov/content/ContactUs/default.aspx","Contact us"," No main content from DOR "," No right callout from DOR ","two-column"
"File & pay taxes","http://dor.wa.gov/content/fileandpaytaxes/default.aspx","File & pay taxes"," 
<p><a href=""https://fortress.wa.gov/dor/efile/MyAccount/home/"">File my taxes online</a></p>
      <p><a href=""GetAFormOrPublication/FormBySubject/excise/default.aspx"">File my taxes by mail (tax forms and instructions)</a></p>
      <p><a href=""FindTaxesAndRates/TaxIncentives/Default.aspx"">Learn about tax incentives:  deductions, exemptions, and credits</a></p>
 
    
     
<table><tr><td><h4><a href=""BeforeIFile/Default.aspx"">Before I file</a></h4>
      <ul><li><a href=""WorkshopsAndEducation/VideoWorkshopsAndTutorials/PlanAndPay/Default.aspx"" target=""_blank"">Plan for and pay your taxes</a> <img src=""/sites/default/files/images/videocameraiconblue.gif"" alt=""video"" /><br /></li>
        <li><a href=""BeforeIFile/Def_TxClass.aspx"">Tax classifications</a></li>
        <li><a href=""BeforeIFile/doingBus_CommonBusActivities.aspx"">Tax classifications for common business activities</a></li>
        <li><a href=""FindTaxesAndRates/SalesAndUseTaxRates/LocalSales_Use.aspx"">Sales tax rates </a></li>
      </ul><h4><a href=""FileAndPayTaxes/FilingFrequenciesAndDueDates/Default.aspx"">Filing frequencies and due dates</a></h4>
      <ul><li><a href=""/content/FileAndPayTaxes/FilingFrequenciesAndDueDates/doingBus_fldead.aspx"">Due date charts</a></li>
        <li><a href=""FileAndPayTaxes/FilingFrequenciesAndDueDates/doingBus_AnnFilers.aspx"">Annual filers</a></li>
        <li><a href=""FileAndPayTaxes/FilingFrequenciesAndDueDates/doingBus_NonReporting.aspx"">Active nonreporters</a></li>
      </ul><h4><a href=""FileOrAmendMyReturn/Default.aspx"">File or amend 
        my return</a></h4>
      <ul><li><a href=""https://fortress.wa.gov/dor/efile/MyAccount/home/"">File online </a></li>
        <li><a href=""GetAFormOrPublication/FormBySubject/excise/default.aspx"">File by mail </a></li>
        <li><a href=""FileOrAmendMyReturn/AmndRetrn.aspx"">Amend my return </a></li>
        <li><a href=""/Content/FileAndPayTaxes/FileOrAmendMyReturn/MethodsOfPayment.aspx"">Payment methods </a></li>
      </ul></td>
    <td><h4><a href=""FileAndPayTaxes/ReportNoBusinessActivity/Default.aspx"">Report no business activity</a></h4>
      <ul><li><a href=""https://fortress.wa.gov/dor/efile/MyAccount/home/"">Report online </a></li>
        <li><a href=""FileAndPayTaxes/ReportNoBusinessActivity/Default.aspx"">Report by phone </a></li>
        <li><a href=""FileAndPayTaxes/ReportNoBusinessActivity/Default.aspx"">Report by mail</a></li>
      </ul><h4><a href=""FileAndPayTaxes/LateFiling/Default.aspx"">Late filing </a></h4>
      <ul><li><a href=""FileAndPayTaxes/LateFiling/doingBus_RequestExtension.aspx"">Excise tax return extensions </a></li>
        <li><a href=""FileAndPayTaxes/LateFiling/doingBus_RequestPenWaiver.aspx"">Penalty waivers </a></li>
        <li><a href=""/Content/FileAndPayTaxes/LateFiling/doingBus_Delinquent.aspx"">Delinquent tax collection process</a></li>
        <li><a href=""/sites/default/files/documents/reports/InterstRatesExciseTx.pdf"" target=""_blank"">Interest rates</a> (pdf)</li>
      </ul><h4><a href=""FileAndPayTaxes/ReviewsAndAppeals/Default.aspx"">Reviews
and Appeals</a>      </h4>
      <h4><a href=""FileAndPayTaxes/ApplyForATaxRefund"">Apply for a tax refund</a></h4>
      <ul><li><a href=""FileAndPayTaxes/ApplyForATaxRefund/Default.aspx#registeredbusiness"">Registered businesses </a></li>
        <li><a href=""FileAndPayTaxes/ApplyForATaxRefund/Default.aspx#Consumers"">Consumers </a></li>
        <li><a href=""FileAndPayTaxes/ApplyForATaxRefund/Default.aspx#mail"">Mail my request </a></li>
      </ul></td>
  </tr></table>","  
<h3>More information </h3>
<p><a href=""/Content/GetAFormOrPublication/PublicationBySubject/TaxTopics/MandatoryE-file.aspx"">All monthly and quarterly filers required to file and pay electronically</a></p>
<p><a href=""/Content/FileAndPayTaxes/FileOrAmendMyReturn/EfileTaxPreparers.aspx"">Information on electronic filing for tax preparers</a></p>
<p><a href=""DoingBusiness/Audits/Default.aspx"">Audits</a></p>
<p><a href=""DoingBusiness/MyAccount/TaxStatusLetter.aspx"">Request a tax status letter</a></p>
<p><a href=""/Content/AboutUs/calendar.aspx"">Calendar</a></p>
<p><a href=""/Content/FindTaxesAndRates/RetailSalesTax/Consumers.aspx"">Consumer information</a></p>
<p><a href=""/Content/FindTaxesAndRates/TaxIncentives/Def_Credits.aspx"">Credits</a></p>
    <p><a href=""/Content/FindTaxesAndRates/TaxIncentives/Def_Deductions.aspx"">Deductions</a></p>
    <p><a href=""/Content/FindTaxesAndRates/RetailSalesTax/Exemptions.aspx"">List of retail sales and use tax exemptions</a></p>
    <p><a href=""/Content/FileAndPayTaxes/FileOrAmendMyReturn/doingBus_eft.aspx"">Electronic funds transfer (EFT)</a></p>
    <p><a href=""/Content/FindTaxesAndRates/OtherTaxes/Default.aspx"">File & pay other taxes</a> </p>
    <p><a href=""FindTaxesAndRates/SalesAndUseTaxRates/LocalSales_Use.aspx"">Local sales & use <br />
      tax rates</a></p>
    <p><a href=""/Content/FindTaxesAndRates/RetailSalesTax/Nonresidents/default.aspx"">Sales to nonresidents</a></p>
    <p><a href=""/Content/FindTaxesAndRates/RetailSalesTax/Indians/default.aspx"">Sales to tribes and tribal members/citizens</a></p>
    <p><a href=""/Content/DoingBusiness/MyAccount/doingBus_CorpDiss.aspx"">Revenue clearance certificates</a></p>
    <p><br /></p>
    <h3>Forms & publications </h3>
    <p><a href=""/sites/default/files/documents/Pubs/ExciseTax/BusinessTaxBasics.pdf"" target=""_blank"">New business tax basics</a> (pdf)</p>
 ","two-column"
"E-mail","http://dor.wa.gov/content/ContactUs/e-mail.aspx","Contact us >>>>  E-mail"," No main content from DOR "," No right callout from DOR ","two-column"
"Binding Rulings","http://dor.wa.gov/content/contactus/con_TaxRulings.aspx","Contact us >>>>  Binding Rulings"," 
  <p>The Department of Revenue’s Taxpayer Information and  Education (TI&E) section provides binding tax rulings  on future transactions for disclosed taxpayers. These rulings are binding on both the taxpayer  and the Department.</p>
  <h4><strong>Ruling requests</strong></h4>
  <p>    A taxpayer requesting a binding ruling must disclose the name of the business, provide all pertinent  facts, and provide a complete and accurate description of the planned  transaction or business activity. The request should state the questions the  taxpayer wants answered or the information the requester is seeking.<br /><br />
    When providing a binding ruling, the Department uses  information from</p>
  <ul><li>The ruling request</li>
    <li>The taxpayer’s website</li>
    <li>Department of Revenue account  information</li>
  </ul><p><br />
    The Department may use other relevant information to develop  the ruling. The ruling will summarize the information used.</p>
  <p>Most responses are issued within 10 business days after  receipt of a request from the taxpayer. Rulings on new or complex issues may  take longer.</p>
<p>The Department of Revenue can’t</p>
  <ul><li>Provide binding rulings for  unidentified taxpayers or consumers</li>
    <li>Provide an opporturnity to hear the  outcome of a ruling before it is issued</li>
    <li>Give tax planning advice</li>
</ul><h4><strong><br />
    Informational responses</strong></h4>
  <p>    Informational responses result from requests from consumers  or from someone other than an identified business or their hired  representative. Informational responses from the Department are not binding on  the Department or the requestor. These responses are merely for informational  purposes.</p>
  <h4><strong>Audits</strong></h4>
  <p>    If a taxpayer is under audit or selected for an audit, the  Department’s Audit Division will determine if the response will come from the Audit  Division or TI&E.</p>
  <p>Information submitted by the taxpayer in a ruling request  may be verified in future audits.</p>
  <p>If the facts provided in a ruling request are materially  different from the facts found in an audit/examination, the prior tax ruling is  no longer binding. If an assessment is issued, it will be based on facts found  during the audit/examination.</p>
  <h4><strong>Review of adverse rulings</strong></h4>
  <p>    Taxpayers may ask for an informal <a href=""/content/fileandpaytaxes/reviewsandappeals/"">administrative review</a> of an  adverse ruling on future liability by the Administrative Review and Hearings  Division (<a href=""http://apps.leg.wa.gov/WAC/default.aspx?cite=458-20-100"" target=""_blank"">WAC  458-20-100</a>). Informal administrative reviews are not allowed on  informational responses.</p>
  <p>Reviews are limited to</p>
  <ul><li>Documents and records used when issuing  the ruling</li>
    <li>Correcting errors occurring during the  ruling process</li>
  </ul><h4><strong> 
    Refund requests</strong></h4>
  <p>    A favorable tax ruling may lead to a refund for the  taxpayer. All refund requests must be submitted to the Department’s Taxpayer  Account Administration Division, which verifies and grants or denies refund requests.  Taxpayers denied a refund may seek an informal administrative review under <a href=""http://apps.leg.wa.gov/WAC/default.aspx?cite=458-20-100"" target=""_blank"">WAC  458-20-100</a>.</p>
  <h4><strong>Is Your Tax Rulings Still Valid?</strong> </h4>
  <p>Tax rulings continue to be valid  as long as <strong><u>none</u></strong> of the following have changed or occurred since  the date of the ruling:</p>
  <ul><li>The facts presented,</li>
    <li>The law (either by  statute or court decision), </li>
    <li>The applicable  rule(s),</li>
    <li>The Department of  Revenue publicly announced a change in the policy upon which this ruling is  based.</li>
  </ul><p>If one or more of these  circumstances has changed, the Ruling is no longer valid. Taxpayers should  generally check-in with the Department periodically to confirm the taxability  of their activities.  </p>
  <p>Taxpayers can obtain an updated  ruling by making a written request. See the upper right hand column of this  page for how to request a tax ruling. </p>
<p> </p>
 "," 
  <h3>To  request a tax ruling:</h3>
  <h4>Send  your request using our <a href=""https://fortress.wa.gov/dor/efile/SecureForms/content/contactus/email/rulings.aspx"">online  form</a></h4>
  <h4>Send  your request electronically via secure messaging</h4>
  <ul type=""disc""><li><a href=""https://fortress.wa.gov/dor/efile/fortresslogon/"">Logon to My Account </a>and click “Send       a secure e-mail”</li>
  </ul><h4>Mail  or fax your request</h4>
  <p>Taxpayer Information and Education<br />
    Washington State Department of Revenue<br />
    PO Box 47478<br />
    Olympia, WA 98504-7478<br />
    Fax: (360) 705-6655</p>
<p> </p>
  <p> </p>
  <p> </p>
  <p> </p>


 ","two-column"
"Public Records Index - Policy, Procedures and Administrative Information","http://dor.wa.gov/content/contactus/Email/con_PRI_PolicyProcedAdmin.aspx","Contact us >>>>  E-mail >>>>  Public Records Index - Policy, Procedures and Administrative Information"," No main content from DOR "," No right callout from DOR ","two-column"
"Public Records Index - Publications","http://dor.wa.gov/content/contactus/Email/con_PRI_Publications.aspx","Contact us >>>>  E-mail >>>>  Public Records Index - Publications"," No main content from DOR "," No right callout from DOR ","two-column"
"No title from DOR","http://dor.wa.gov/content/errors/ServerError.html?aspxerrorpath=/content/FindTaxesAndRates/PublicUtilityTax/default.aspxhttp:/dor.wa.gov/content/AboutUs/WhatsNew/Archive-Forms.aspx",""," No main content from DOR "," No right callout from DOR ","two-column"
"Public Records Index - Rule Making and Final Opinions","http://dor.wa.gov/content/contactus/Email/con_PRI_RuleMaking.aspx","Contact us >>>>  E-mail >>>>  Public Records Index - Rule Making and Final Opinions"," No main content from DOR "," No right callout from DOR ","two-column"
