"start_url","nid"
"/content/aboutus/statisticsandreports/stats_State_Assessed_Data_Visualization.aspx","node/4101"
"/content/aboutus/statisticsandreports/stats_Rates_Data_Visualization.aspx","node/4102"
"/content/aboutus/statisticsandreports/stats_ResValues_Data_Visualization.aspx","node/4103"
"/content/aboutus/statisticsandreports/stats_Levies_Data_Visualization.aspx","node/4104"
"/content/aboutus/statisticsandreports/stats_Relief_Data_Visualization.aspx","node/4105"
"/content/aboutus/statisticsandreports/2016/Tax_Exemptions_2016/Data_Visualization.aspx","node/4106"
"/content/aboutus/statisticsandreports/stats_CurrentUse_Data_Visualization.aspx","node/4107"
"/content/aboutus/statisticsandreports/stats_PTHistory_Data_Visualization.aspx","node/4108"
"/content/aboutus/statisticsandreports/2013/Compare13/Data_Visualization.aspx","node/4109"
"/content/aboutus/statisticsandreports/stats_MajorTD_Data_Visualization.aspx","node/4110"
"/content/aboutus/statisticsandreports/stats_taxIncentive_publicDisclosure.aspx","node/4111"
"/content/aboutus/statisticsandreports/sic_vs_naics.aspx","node/8895"
"/Content/FindTaxesAndRates/RetailSalesTax/Exemptions.aspx","node/8896"
"/content/fileandpaytaxes/BeforeIFile/Def_TxClassSalesAndUse.aspx","node/8897"
"/content/AboutUs/StatisticsAndReports/questions.aspx","node/8898"
"/content/fileandpaytaxes/BeforeIFile/Def_TxClassLodging.aspx","node/8899"
"/Content/FileAndPayTaxes/FileOrAmendMyReturn/EfileTaxPreparers.aspx","node/8900"
"/content/fileandpaytaxes/BeforeIFile/Def_TxClassOther.aspx","node/8901"
"/Content/FileAndPayTaxes/BeforeIFile/Def_TxClassBandO.aspx","node/8902"
"/content/FileAndPayTaxes/FilingFrequenciesAndDueDates/doingBus_AnnFilers.aspx","node/8903"
"/content/FindTaxesAndRates/TaxIncentives/Def_Credits.aspx","node/8904"
"/content/findtaxesandrates/SalesAndUseTaxRates/doingBus_LocSaTxChNts.aspx","node/8905"
"/Content/GetAFormOrPublication/FormBySubject/forms_sale.aspx","node/8906"
"/content/getaformorpublication/FormBySubject/forms_prop.aspx","node/8907"
"/content/GetAFormOrPublication/PublicationBySubject/default.aspx","node/8908"
"/content/getaformorpublication/publicationbysubject/taxtopics/nonresidentvessel.aspx","node/8909"
"/Content/AboutUs/StatisticsAndReports/stats_RMJTaxes.aspx","node/8910"
"/Content/AboutUs/StatisticsAndReports/stats_MMJTaxes.aspx","node/8911"
"/Content/AboutUs/StatisticsAndReports/stats_TaxAlternative.aspx","node/8912"
"/Content/AboutUs/StatisticsAndReports/stats_ltd1995.aspx","node/8913"
"/Content/GetAFormOrPublication/PublicationBySubject/TaxTopics/LocalGovtFitness.aspx","node/8914"
"/content/getaformorpublication/FormBySubject/excise/forms_excise_Quarterly.aspx","node/8915"
"/Content/AboutUs/StatisticsAndReports/stats_taxstats.aspx","node/8916"
"/content/getaformorpublication/FormBySubject/excise/forms_excise_retailing.aspx","node/8917"
"/content/getaformorpublication/FormBySubject/excise/forms_excise_retailingQuarterly.aspx","node/8918"
"/content/GetAFormOrPublication/FormBySubject/forms_cessation.aspx","node/8919"
"/Content/GetAFormOrPublication/FormBySubject/forms_electronic.aspx","node/8920"
"/content/getaformorpublication/formbysubject/forms_EstateTax.aspx","node/8921"
"/content/getaformorpublication/publicationbysubject/taxtopics/constructioncleanupsvc.aspx","node/8922"
"/content/getaformorpublication/formbysubject/forms_LodgingAdd.aspx","node/8923"
"/Content/GetAFormOrPublication/PublicationBySubject/TaxTopics/ConcretePumping.aspx","node/8924"
"/Content/AboutUs/StatisticsAndReports/stats_ltd1996.aspx","node/8925"
"/Content/AboutUs/StatisticsAndReports/stats_ltd1997.aspx","node/8926"
"/Content/AboutUs/StatisticsAndReports/stats_ltd1998.aspx","node/8927"
"/Content/AboutUs/StatisticsAndReports/stats_NonGeneral_Fund.aspx","node/8928"
"/content/AboutUs/StatisticsAndReports/stats_sautival.aspx","node/8929"
"/Content/AboutUs/StatisticsAndReports/stats_qbr.aspx","node/8930"
"/Content/AboutUs/StatisticsAndReports/stats_qbr1995.aspx","node/8931"
"/Content/AboutUs/StatisticsAndReports/stats_qbr1996.aspx","node/8932"
"/Content/AboutUs/StatisticsAndReports/stats_qbr1997.aspx","node/8933"
"/Content/AboutUs/StatisticsAndReports/stats_qbr1998.aspx","node/8934"
"/Content/AboutUs/StatisticsAndReports/stats_qbr1999.aspx","node/8935"
"/Content/AboutUs/StatisticsAndReports/stats_qbr2000.aspx","node/8936"
"/Content/AboutUs/StatisticsAndReports/stats_qbr2001.aspx","node/8937"
"/Content/AboutUs/StatisticsAndReports/stats_qbr2002.aspx","node/8938"
"/Content/AboutUs/StatisticsAndReports/stats_qbr2003.aspx","node/8939"
"/Content/AboutUs/StatisticsAndReports/stats_qbr2004.aspx","node/8940"
"/Content/GetAFormOrPublication/PublicationBySubject/TaxTopics/SelfPublishing.aspx","node/8941"
"/Content/AboutUs/StatisticsAndReports/stats_qbr2005.aspx","node/8942"
"/Content/AboutUs/StatisticsAndReports/stats_qbr2007.aspx","node/8943"
"/Content/AboutUs/StatisticsAndReports/stats_qbr2006.aspx","node/8944"
"/Content/AboutUs/StatisticsAndReports/stats_qbr2008.aspx","node/8945"
"/Content/AboutUs/StatisticsAndReports/stats_qbr2009.aspx","node/8946"
"/Content/AboutUs/StatisticsAndReports/stats_qbr2010.aspx","node/8947"
"/Content/AboutUs/StatisticsAndReports/stats_qbr2011.aspx","node/8948"
"/Content/AboutUs/StatisticsAndReports/stats_qbr2012.aspx","node/8949"
"/Content/AboutUs/StatisticsAndReports/stats_qbr2013.aspx","node/8950"
"/Content/AboutUs/StatisticsAndReports/stats_qbr2014.aspx","node/8951"
"/Content/AboutUs/StatisticsAndReports/stats_qbr2015.aspx","node/8952"
"/content/aboutus/statisticsandreports/TID/StatisticsReports.aspx","node/8953"
"/content/aboutus/statisticsandreports/TID/StatisticsReports.aspx?query=gbinaics","node/8954"
"/content/aboutus/statisticsandreports/TID/StatisticsReports.aspx?query=historical","node/8955"
"/content/aboutus/statisticsandreports/TID/StatisticsReports.aspx?Query=LocalSales","node/8956"
"/content/aboutus/statisticsandreports/TID/StatisticsReports.aspx?query=localall","node/8957"
"/content/aboutus/statisticsandreports/TID/StatisticsReports.aspx?query=qbrnaics","node/8958"
"/content/aboutus/statisticsandreports/TID/StatisticsReports.aspx?Query=LocalSingle","node/8959"
"/content/aboutus/statisticsandreports/TID/StatisticsReports.aspx?query=statesalesnaics","node/8960"
"/content/findtaxesandrates/SalesAndUseTaxRates/Determining.aspx","node/8961"
"/Content/AboutUs/StatisticsAndReports/stats_proptaxstats_report.aspx","node/8962"
"/Content/AboutUs/StatisticsAndReports/stats_ltd1999.aspx","node/8963"
"/Content/GetAFormOrPublication/Default.aspx","node/8964"
"/content/GetAFormOrPublication/FormByName/default.aspx","node/8965"
"/content/GetAFormOrPublication/FormBySubject/default.aspx","node/8966"
"/Content/AboutUs/StatisticsAndReports/stats_qbr2016.aspx","node/8967"
"/content/getaformorpublication/FormBySubject/excise/forms_excise_Annually.aspx","node/8968"
"/content/getaformorpublication/FormBySubject/excise/forms_excise_BOActQuarterly.aspx","node/8969"
"/Content/GetAFormOrPublication/FormBySubject/forms_cig.aspx","node/8970"
"/content/getaformorpublication/FormBySubject/excise/forms_excise_Monthly.aspx","node/8971"
"/content/getaformorpublication/formbysubject/forms_forst.aspx","node/8972"
